"Freq [GHz]","dB(S(port1,port1)) []","dB(S(port2,port1)) []"
10,-25.0861518341769,-1.87748054797113
10.01,-24.6074115195634,-1.89969597972109
10.02,-24.0654473361651,-1.92467722231945
10.03,-23.44642681532,-1.95284273411259
10.04,-22.7425211584044,-1.98470698132092
10.05,-21.9528063931583,-2.02089802247996
10.06,-21.0830865298157,-2.06217674571852
10.07,-20.1446210029845,-2.10945698843998
10.08,-19.1521689448913,-2.16382534710652
10.09,-18.1219424772014,-2.22655897173484
10.1,-17.0699411640603,-2.29913905466052
10.11,-16.0108723549565,-2.38325711722392
10.12,-14.9576269517649,-2.48081066790049
10.13,-13.9211593039397,-2.59388450333676
10.14,-12.9106007238549,-2.72471405592992
10.15,-11.9334705113465,-2.87562799265233
10.16,-10.9958965350809,-3.04896894297023
10.17,-10.1027992600465,-3.2469938541248
10.18,-9.25802307667214,-3.47175887214464
10.19,-8.46441794537712,-3.72499733015089
10.2,-7.72388533349766,-4.00800257667312
10.21,-7.03740728939777,-4.32152902640022
10.22,-6.40507759902805,-4.66572415454534
10.23,-5.82615031510038,-5.04010089659774
10.24,-5.2991147223698,-5.44355452618788
10.25,-4.82179853308871,-5.87442173487302
10.26,-4.39149445803872,-6.33057383300567
10.27,-4.00510063873438,-6.80953204294092
10.28,-3.65926344801984,-7.30859145141565
10.29,-3.35051176738493,-7.82494123996507
10.3,-3.07537431222084,-8.35577162432458
10.31,-2.83047491966042,-8.89836154552782
10.32,-2.6126040377256,-9.45014468496284
10.33,-2.41876735219213,-10.0087542304117
10.34,-2.24621429401198,-10.5720487465347
10.35,-2.09245009584514,-11.1381225206058
10.36,-1.9552352838277,-11.7053040418569
10.37,-1.83257622953441,-12.2721460650388
10.38,-1.72270986216612,-12.8374102247044
10.39,-1.62408501833652,-13.4000485752728
10.4,-1.53534229600175,-13.9591838450171
10.41,-1.4552937407614,-14.5140896721408
10.42,-1.38290325193206,-15.0641716643948
10.43,-1.31726825475688,-15.6089497935032
10.44,-1.25760293382833,-16.1480423927795
10.45,-1.20322314604784,-16.6811518560339
10.46,-1.15353301314062,-17.2080520225938
10.47,-1.10801311925588,-17.728577162649
10.48,-1.06621019626939,-18.2426124372355
10.49,-1.02772815840847,-18.7500856884938
10.5,-0.992220341431431,-19.2509604112567
10.51,-0.959382804484264,-19.7452297612832
10.52,-0.928948561152773,-20.2329114649242
10.53,-0.900682617545424,-20.7140435071212
10.54,-0.874377707762077,-21.1886804877777
10.55,-0.849850629735498,-21.6568905496274
10.56,-0.826939096514776,-22.1187527931467
10.57,-0.805499029228736,-22.5743551054682
10.58,-0.785402228051031,-23.0237923405103
10.59,-0.766534366442023,-23.4671647966007
10.6,-0.748793261793799,-23.9045769457984
10.61,-0.732087382427115,-24.3361363759747
10.62,-0.716334556775816,-24.7619529126158
10.63,-0.701460855648014,-25.1821378923521
10.64,-0.687399622773906,-25.5968035645223
10.65,-0.67409063253416,-26.0060626007301
10.66,-0.661479356896787,-26.4100276954487
10.67,-0.649516326253219,-26.8088112433433
10.68,-0.638156571104064,-27.2025250812003
10.69,-0.627359133462533,-27.5912802842144
10.7,-0.617086638469682,-27.9751870079679
10.71,-0.60730491809558,-28.3543543687616
10.72,-0.597982679971396,-28.7288903560846
10.73,-0.589091215392156,-29.0989017719541
10.74,-0.580604141375012,-29.4644941926583
10.75,-0.572497172377132,-29.8257719491083
10.76,-0.564747917889515,-30.1828381225807
10.77,-0.557335702645249,-30.5357945531063
10.78,-0.550241406626293,-30.8847418581766
10.79,-0.543447322433815,-31.2297794597772
10.8,-0.536937027913034,-31.5710056180531
10.81,-0.530695272203022,-31.9085174701545
10.82,-0.524707873621542,-32.2424110730232
10.83,-0.518961628001319,-32.5727814490502
10.84,-0.513444226271347,-32.8997226336909
10.85,-0.50814418022997,-33.2233277242423
10.86,-0.503050755588416,-33.5436889290968
10.87,-0.49815391147771,-33.8608976168713
10.88,-0.493444245710838,-34.1750443648867
10.89,-0.488912945177707,-34.4862190065291
10.9,-0.484551740825111,-34.7945106770765
10.91,-0.480352866738647,-35.1000078576101
10.92,-0.476309022900082,-35.402798416664
10.93,-0.472413341242991,-35.7029696492826
10.94,-0.468659354672529,-36.0006083131774
10.95,-0.465040968752987,-36.2958006616765
10.96,-0.461552435799859,-36.5886324731665
10.97,-0.458188331142104,-36.8791890767196
10.98,-0.454943531345949,-37.1675553735907
10.99,-0.451813194213923,-37.4538158542511
11,-0.448792740392764,-37.7380546106072
