"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
60,-170,134,0.318364931462171
60,-170,136,0.271315180053548
60,-170,138,0.22539836946311
60,-170,140,0.180343630315419
60,-170,142,0.136786550462985
60,-170,144,0.0963845676807896
60,-170,146,0.061602397262404
60,-170,148,0.0351325153980462
60,-170,150,0.0190422980777982
60,-170,152,0.0138807584655218
60,-170,154,0.0180764239557528
60,-170,156,0.0279483963419318
60,-170,158,0.0384940799042911
60,-170,160,0.0448286690659467
60,-170,162,0.0438301727826648
60,-170,164,0.0353417102981596
60,-170,166,0.022340591035167
60,-170,168,0.00984354467696743
60,-170,170,0.00286660057371042
60,-170,172,0.00425009208074261
60,-170,174,0.0133245262260175
60,-170,176,0.0260915384003489
60,-170,178,0.0369213916023134
60,-170,180,0.041037486142265
60,-168,0,7.36752269720022
60,-168,2,7.29326847252144
60,-168,4,7.06240393154118
60,-168,6,6.68842810303872
60,-168,8,6.19027200193106
60,-168,10,5.58799094016747
60,-168,12,4.90065901271649
60,-168,14,4.14770341733094
60,-168,16,3.35295874621938
60,-168,18,2.54911226219603
60,-168,20,1.77977455667484
60,-168,22,1.0973308994502
60,-168,24,0.556513073202184
60,-168,26,0.205416742088886
60,-168,28,0.0766972657147872
60,-168,30,0.181561630598151
60,-168,32,0.508112693999493
60,-168,34,1.02413038164287
60,-168,36,1.68309744039275
60,-168,38,2.43160772495498
60,-168,40,3.21633213003069
60,-168,42,3.98928231245101
60,-168,44,4.71088592562518
60,-168,46,5.3510652015835
60,-168,48,5.88891065446679
60,-168,50,6.31163076327405
60,-168,52,6.61331811496102
60,-168,54,6.79383199980558
60,-168,56,6.85787292763931
60,-168,58,6.81418363543983
60,-168,60,6.67476773787586
60,-168,62,6.45404672733277
60,-168,64,6.16793860279603
60,-168,66,5.83290098244063
60,-168,68,5.46501654730984
60,-168,70,5.07920346055785
60,-168,72,4.68861407651434
60,-168,74,4.30425323598826
60,-168,76,3.93481410246113
60,-168,78,3.58670288489837
60,-168,80,3.2642077029015
60,-168,82,2.96976141493598
60,-168,84,2.70425128070364
60,-168,86,2.46733676950494
60,-168,88,2.25774766953232
60,-168,90,2.07354558811897
60,-168,92,1.9123414998206
