"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
4.5,-174,22,2.53480864958899
4.5,-174,24,2.51041973078355
4.5,-174,26,2.47823516635993
4.5,-174,28,2.43878462509959
4.5,-174,30,2.39265888006601
4.5,-174,32,2.34049636914748
4.5,-174,34,2.28296958930172
4.5,-174,36,2.22077170723668
4.5,-174,38,2.15460373104461
4.5,-174,40,2.08516253923525
4.5,-174,42,2.01313000877733
4.5,-174,44,1.93916342526494
4.5,-174,46,1.86388729912801
4.5,-174,48,1.78788665455185
4.5,-174,50,1.71170180468996
4.5,-174,52,1.63582457959362
4.5,-174,54,1.56069593326964
4.5,-174,56,1.48670482413266
4.5,-174,58,1.41418823908111
4.5,-174,60,1.34343221532017
4.5,-174,62,1.27467370535968
4.5,-174,64,1.20810312854618
4.5,-174,66,1.14386745608461
4.5,-174,68,1.08207368470455
4.5,-174,70,1.02279256583874
4.5,-174,72,0.966062471348325
4.5,-174,74,0.911893292469384
4.5,-174,76,0.860270284898708
4.5,-174,78,0.811157789046621
4.5,-174,80,0.764502769865753
4.5,-174,82,0.720238134865167
4.5,-174,84,0.678285801622342
4.5,-174,86,0.638559497118414
4.5,-174,88,0.600967280459307
4.5,-174,90,0.565413788012265
4.5,-174,92,0.531802205761704
4.5,-174,94,0.500035977904453
4.5,-174,96,0.470020263536772
4.5,-174,98,0.441663154936112
4.5,-174,100,0.414876671626657
4.5,-174,102,0.389577544363133
4.5,-174,104,0.365687802594043
4.5,-174,106,0.343135178087141
4.5,-174,108,0.321853336416916
4.5,-174,110,0.301781947107461
4.5,-174,112,0.282866602553096
4.5,-174,114,0.265058595534256
4.5,-174,116,0.248314565306408
4.5,-174,118,0.232596022927554
4.5,-174,120,0.217868767727209
4.5,-174,122,0.204102208584527
4.5,-174,124,0.191268605907206
4.5,-174,126,0.179342252770806
4.5,-174,128,0.168298616429768
4.5,-174,130,0.158113464145897
4.5,-174,132,0.148761999763747
4.5,-174,134,0.14021803944038
4.5,-174,136,0.132453256148015
4.5,-174,138,0.125436522762165
4.5,-174,140,0.119133382506493
4.5,-174,142,0.113505673082415
4.5,-174,144,0.108511326872887
4.5,-174,146,0.10410436417249
4.5,-174,148,0.100235089560214
4.5,-174,150,0.096850493508201
4.5,-174,152,0.0938948524295564
4.5,-174,154,0.0913105110311267
4.5,-174,156,0.0890388215525075
4.5,-174,158,0.0870212057916631
4.5,-174,160,0.0852002983067044
4.5,-174,162,0.0835211233830643
4.5,-174,164,0.0819322547367509
4.5,-174,166,0.0803869058480239
4.5,-174,168,0.0788439004993846
4.5,-174,170,0.0772684775674029
4.5,-174,172,0.0756328912421651
4.5,-174,174,0.073916777286411
4.5,-174,176,0.0721072671929991
4.5,-174,178,0.0701988445083763
4.5,-174,180,0.0681929504192401
4.5,-172,0,2.22951090171359
4.5,-172,2,2.29569444972914
4.5,-172,4,2.35469086694055
4.5,-172,6,2.40592983528681
4.5,-172,8,2.44893876134248
4.5,-172,10,2.48335129016832
4.5,-172,12,2.50891324069929
4.5,-172,14,2.5254858205009
4.5,-172,16,2.53304607672105
4.5,-172,18,2.53168463847165
4.5,-172,20,2.52160089898737
4.5,-172,22,2.50309586947481
