"Time [ns]","V(S6_B) [mV]"
2.1967653684135,25.7513696284568
2.19944864450672,25.3088918765665
2.20213192059993,24.9858042565079
2.20481519669315,24.7228390602624
2.20749847278636,24.4322737872164
2.21018174887958,24.049930434017
2.21286502497279,23.567782353951
2.21554830106601,23.0343292119886
2.21893971386153,22.4095878292031
2.22233112665705,21.9420164367722
2.22572253945257,21.6444657979561
2.2291139522481,21.4182489558152
2.23250536504362,21.1280203293174
2.23680294502814,20.6162508863342
2.24110052501266,20.2545585878345
2.24539810499719,20.7916086992604
2.24969568498171,23.1768846862369
2.25521333241463,30.074946844496
2.25953869109609,38.6443693520411
2.26386404977754,49.4346096527255
2.26918180065776,64.246835814581
2.27449955153797,79.1395211906354
2.27858479977705,89.859362591997
2.28267004801613,99.6820778671075
2.28767217679406,110.595697102916
2.29267430557199,120.568859101489
